title,source_url,local_path,extraction_method
Aging and putative frailty biomarkers are altered by spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166946/,data\processed_text\Aging and putative frailty biomarkers are altered .txt,HTML_EXTRACTION
Space radiation damage rescued by inhibition of key spaceflight associated miRNAs,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166944/,data\processed_text\Space radiation damage rescued by inhibition of ke.txt,HTML_EXTRACTION
Ethical considerations for the age of non-governmental space exploration,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166968/,data\processed_text\Ethical considerations for the age of nongovernmen.txt,HTML_EXTRACTION
Innate immune responses of Drosophila melanogaster are altered by spaceflight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/,data\processed_text\Innate immune responses of Drosophila melanogaster.txt,HTML_EXTRACTION
Prolonged Exposure to Microgravity Reduces Cardiac Contractility and Initiates Remodeling in Drosophila,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787258/,data\processed_text\Prolonged Exposure to Microgravity Reduces Cardiac.txt,HTML_EXTRACTION
Regulation of plant gravity sensing and signaling by the actin cytoskeleton.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8716943/,data\processed_text\Regulation of plant gravity sensing and signaling .txt,HTML_EXTRACTION
HLB1 Is a Tetratricopeptide Repeat Domain-Containing Protein That Operates at the Intersection of the Exocytic and Endocytic Pathways at the TGN/EE in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4826010/,data\processed_text\HLB1 Is a Tetratricopeptide Repeat DomainContainin.txt,HTML_EXTRACTION
ERULUS is a plasma membrane-localized receptor-like kinase that specifies root hair growth by maintaining tip-focused cytoplasmic calcium oscillations.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6048781/,data\processed_text\ERULUS is a plasma membranelocalized receptorlike .txt,HTML_EXTRACTION
Brassinosteroids inhibit autotropic root straightening by modifying filamentous-actin organization and dynamics.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010715/,data\processed_text\Brassinosteroids inhibit autotropic root straighte.txt,HTML_EXTRACTION
Cell type-specific imaging of calcium signaling in Arabidopsis thaliana seedling roots using GCaMP3.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7503278/,data\processed_text\Cell typespecific imaging of calcium signaling in .txt,HTML_EXTRACTION
Spatial and temporal localization of SPIRRIG and WAVE/SCAR reveal roles for these proteins in actin-mediated root hair development.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8364238/,data\processed_text\Spatial and temporal localization of SPIRRIG and W.txt,HTML_EXTRACTION
Microgravity Stress: Bone and Connective Tissue,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11579474/,data\processed_text\Microgravity Stress Bone and Connective Tissue.txt,HTML_EXTRACTION
S. aureus MscL is a pentamer in vivo but of variable stoichiometries in vitro: implications for detergent-solubilized membrane proteins,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2998437/,data\processed_text\S aureus MscL is a pentamer in vivo but of variabl.txt,HTML_EXTRACTION
Manipulating the permeation of charged compounds through the MscL nanovalve.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3005423/,data\processed_text\Manipulating the permeation of charged compounds t.txt,HTML_EXTRACTION
The oligomeric state of the truncated mechanosensitive channel of large conductance shows no variance in vivo.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3190158/,data\processed_text\The oligomeric state of the truncated mechanosensi.txt,HTML_EXTRACTION
Three routes to modulate the pore size of the MscL channel/nanovalve,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3289768/,data\processed_text\Three routes to modulate the pore size of the MscL.txt,HTML_EXTRACTION
The dynamics of protein-protein interactions between domains of MscL at the cytoplasmic-lipid interface,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3508904/,data\processed_text\The dynamics of proteinprotein interactions betwee.txt,HTML_EXTRACTION
The MscS and MscL families of mechanosensitive channels act as microbial emergency release valves,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3430326/,data\processed_text\The MscS and MscL families of mechanosensitive cha.txt,HTML_EXTRACTION
Chimeras reveal a single lipid-interface residue that controls MscL channel kinetics as well as mechanosensitivity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3593973/,data\processed_text\Chimeras reveal a single lipidinterface residue th.txt,HTML_EXTRACTION
Evidence for extensive horizontal gene transfer from the draft genome of a tardigrade,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5018776/,data\processed_text\Evidence for extensive horizontal gene transfer fr.txt,HTML_EXTRACTION
Reply to Bemm et al. and Arakawa: Identifying foreign genes in independent Hypsibius dujardini genome assemblies,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4896697/,data\processed_text\Reply to Bemm et al and Arakawa Identifying foreig.txt,HTML_EXTRACTION
Tardigrades Use Intrinsically Disordered Proteins to Survive Desiccation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11127935/,data\processed_text\Tardigrades Use Intrinsically Disordered Proteins .txt,HTML_EXTRACTION
Desiccation of Hypsibius exemplaris,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11831363/,data\processed_text\Desiccation of Hypsibius exemplaris.txt,HTML_EXTRACTION
The biology of tardigrade disordered proteins in extreme stress tolerance.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11930778/,data\processed_text\The biology of tardigrade disordered proteins in e.txt,HTML_EXTRACTION
Production of reactive oxygen species and involvement of bioprotectants during anhydrobiosis in the tardigrade Paramacrobiotus spatialis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8816950/,data\processed_text\Production of reactive oxygen species and involvem.txt,HTML_EXTRACTION
Partial weight suspension: A novel murine model for investigating adaptation to reduced musculoskeletal loading.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3774184/,data\processed_text\Partial weight suspension A novel murine model for.txt,HTML_EXTRACTION
"Partial reductions in mechanical loading yield proportional changes in bone density, bone architecture, and muscle mass",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4118556/,data\processed_text\Partial reductions in mechanical loading yield pro.txt,HTML_EXTRACTION
Spaceflight and hind limb unloading induce similar changes in electrical impedance characteristics of mouse gastrocnemius muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4653813/,data\processed_text\Spaceflight and hind limb unloading induce similar.txt,HTML_EXTRACTION
Spaceflight Activates Lipotoxic Pathways in Mouse Liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6915713/,data\processed_text\Spaceflight Activates Lipotoxic Pathways in Mouse .txt,HTML_EXTRACTION
Treatment with a soluble bone morphogenetic protein type 1A receptor (BMPR1A) fusion protein increases bone mass and bone formation in mice subjected to hindlimb unloading.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6124165/,data\processed_text\Treatment with a soluble bone morphogenetic protei.txt,HTML_EXTRACTION
RNAseq and RNA molecular barcoding reveal differential gene expression in cortical bone following hindlimb unloading in female mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8509868/,data\processed_text\RNAseq and RNA molecular barcoding reveal differen.txt,HTML_EXTRACTION
Proteomic and phosphoproteomic characterization of cardiovascular tissues after long term exposure to simulated space radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11063234/,data\processed_text\Proteomic and phosphoproteomic characterization of.txt,HTML_EXTRACTION
Adaptive Changes in the Vestibular System of Land Snail to a 30-Day Spaceflight and Readaptation on Return to Earth,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5672023/,data\processed_text\Adaptive Changes in the Vestibular System of Land .txt,HTML_EXTRACTION
"Morphology of the Utricular Otolith Organ in the Toadfish, Opsanus tau",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5899691/,data\processed_text\Morphology of the Utricular Otolith Organ in the T.txt,HTML_EXTRACTION
"Influence of Magnitude and Duration of Altered Gravity and Readaptation to 1g on the Structure and Function of the Utricle in Toadfish, Opsanus tau.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6204554/,data\processed_text\Influence of Magnitude and Duration of Altered Gra.txt,HTML_EXTRACTION
Organization of the ER-Golgi interface for membrane traffic control.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4064004/,data\processed_text\Organization of the ERGolgi interface for membrane.txt,HTML_EXTRACTION
IRE1: ER stress sensor and cell fate executor.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3818365/,data\processed_text\IRE1 ER stress sensor and cell fate executor.txt,HTML_EXTRACTION
Inter-regulation of the unfolded protein response and auxin signaling.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3981873/,data\processed_text\Interregulation of the unfolded protein response a.txt,HTML_EXTRACTION
Endoplasmic reticulum-shape and function in stress translation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4150462/,data\processed_text\Endoplasmic reticulumshape and function in stress .txt,HTML_EXTRACTION
Galactose-depleted xycoglucan is dysfunctional and leads to dwarfism in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4378170/,data\processed_text\Galactosedepleted xycoglucan is dysfunctional and .txt,HTML_EXTRACTION
"Unfolded protein response in plants: one master, many questions.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4618186/,data\processed_text\Unfolded protein response in plants one master man.txt,HTML_EXTRACTION
Vesicles versus Tubes: Is Endoplasmic Reticulum-Golgi Transport in Plants Fundamentally Different from Other Eukaryotes?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4453782/,data\processed_text\Vesicles versus Tubes Is Endoplasmic ReticulumGolg.txt,HTML_EXTRACTION
Pectin methylesterification impacts the relationship between photosynthesis and plant growth.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4902601/,data\processed_text\Pectin methylesterification impacts the relationsh.txt,HTML_EXTRACTION
Reduced Chloroplast Coverage genes from Arabidopsis thaliana help to establish the size of the chloroplast compartment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4776492/,data\processed_text\Reduced Chloroplast Coverage genes from Arabidopsi.txt,HTML_EXTRACTION
Maintaining the factory: The roles of the unfolded protein response in cellular homeostasis in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5415411/,data\processed_text\Maintaining the factory The roles of the unfolded .txt,HTML_EXTRACTION
NADPH oxidase activity is required for ER stress survival in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6289879/,data\processed_text\NADPH oxidase activity is required for ER stress s.txt,HTML_EXTRACTION
Relevance of the Unfolded Protein Response to Spaceflight-Induced Transcriptional Reprogramming in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7987364/,data\processed_text\Relevance of the Unfolded Protein Response to Spac.txt,HTML_EXTRACTION
Reanalysis of the Mars500 experiment reveals common gut microbiome alterations in astronauts induced by long-duration confinement,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8099722/,data\processed_text\Reanalysis of the Mars500 experiment reveals commo.txt,HTML_EXTRACTION
"High atomic weight, high-energy radiation (HZE) induces transcriptional responses shared with conventional stresses in addition to a core ""DSB"" response specific to clastogenic treatments",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5116466/,data\processed_text\High atomic weight highenergy radiation HZE induce.txt,HTML_EXTRACTION
Genomic stability in response to high versus low linear energy transfer radiation in Arabidopsis thaliana,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4033213/,data\processed_text\Genomic stability in response to high versus low l.txt,HTML_EXTRACTION
Acceleration profiles and processing methods for parabolic flight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6081456/,data\processed_text\Acceleration profiles and processing methods for p.txt,HTML_EXTRACTION
Cytoskeleton structure and total methylation of mouse cardiac and lung tissue during space flight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5955502/,data\processed_text\Cytoskeleton structure and total methylation of mo.txt,HTML_EXTRACTION
Toward countering muscle and bone loss with spaceflight: GSK3 as a potential target,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10285634/,data\processed_text\Toward countering muscle and bone loss with spacef.txt,HTML_EXTRACTION
Spaceflight increases sarcoplasmic reticulum Ca2+ leak and this cannot be counteracted with BuOE treatment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11271499/,data\processed_text\Spaceflight increases sarcoplasmic reticulum Ca2 l.txt,HTML_EXTRACTION
Cardiovascular progenitor cells cultured aboard the International Space Station exhibit altered developmental and functional properties,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6062551/,data\processed_text\Cardiovascular progenitor cells cultured aboard th.txt,HTML_EXTRACTION
Inter-agency perspective: Translating advances in biomarker discovery and medical countermeasures development between terrestrial and space radiation environments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9832585/,data\processed_text\Interagency perspective Translating advances in bi.txt,HTML_EXTRACTION
Genomic and functional characterization of Enterococcus faecalis isolates recovered from the International Space Station and their potential for pathogenicity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7829349/,data\processed_text\Genomic and functional characterization of Enteroc.txt,HTML_EXTRACTION
Evaluation of in vitro macrophage differentiation during space flight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3570223/,data\processed_text\Evaluation of in vitro macrophage differentiation .txt,HTML_EXTRACTION
Ehrlichia chaffeensis replication sites in adult Drosophila melanogaster.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3558598/,data\processed_text\Ehrlichia chaffeensis replication sites in adult D.txt,HTML_EXTRACTION
Development and characterization of two porcine monocyte-derived macrophage cell lines.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11046949/,data\processed_text\Development and characterization of two porcine mo.txt,HTML_EXTRACTION
Understanding macrophage differentiation during space flight: The importance of ground-based experiments before space flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3890248/,data\processed_text\Understanding macrophage differentiation during sp.txt,HTML_EXTRACTION
Bone marrow leptin signaling mediates obesity-associated adipose tissue inflammation in male mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3868799/,data\processed_text\Bone marrow leptin signaling mediates obesityassoc.txt,HTML_EXTRACTION
Establishment and characterization of DB-1: a leptin receptor-deficient murine macrophage cell line,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4960141/,data\processed_text\Establishment and characterization of DB1 a leptin.txt,HTML_EXTRACTION
Validation of methods to assess the immunoglobulin gene repertoire in tissues obtained from mice on the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5736159/,data\processed_text\Validation of methods to assess the immunoglobulin.txt,HTML_EXTRACTION
Characterization of the naive murine antibody repertoire using unamplified high-throughput sequencing,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5761896/,data\processed_text\Characterization of the naive murine antibody repe.txt,HTML_EXTRACTION
Effects of spaceflight on the immunoglobulin repertoire of unimmunized C57BL/6 mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5826609/,data\processed_text\Effects of spaceflight on the immunoglobulin reper.txt,HTML_EXTRACTION
A comparison of unamplified and massively multiplexed PCR amplification for murine antibody repertoire sequencing.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6366624/,data\processed_text\A comparison of unamplified and massively multiple.txt,HTML_EXTRACTION
Effects of skeletal unloading on the antibody repertoire of tetanus toxoid and/or CpG treated C57BL/6J mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11929063/,data\processed_text\Effects of skeletal unloading on the antibody repe.txt,HTML_EXTRACTION
Effects of skeletal unloading on the bone marrow antibody repertoire of tetanus toxoid and/or CpG treated C57BL/6J mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11929063/,data\processed_text\Effects of skeletal unloading on the bone marrow a.txt,HTML_EXTRACTION
An Analysis of the Effects of Spaceflight and Vaccination on Antibody Repertoire Diversity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10996920/,data\processed_text\An Analysis of the Effects of Spaceflight and Vacc.txt,HTML_EXTRACTION
Effects of spaceflight aboard the International Space Station on mouse estrous cycle and ovarian gene expression,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7954810/,data\processed_text\Effects of spaceflight aboard the International Sp.txt,HTML_EXTRACTION
Effect of spaceflight on Pseudomonas aeruginosa final cell density is modulated by nutrient and oxygen availability.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4228280/,data\processed_text\Effect of spaceflight on Pseudomonas aeruginosa fi.txt,HTML_EXTRACTION
Spaceflight promotes biofilm formation by Pseudomonas aeruginosa.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3639165/,data\processed_text\Spaceflight promotes biofilm formation by Pseudomo.txt,HTML_EXTRACTION
NASA GeneLab: Interfaces for the exploration of space omics data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7778922/,data\processed_text\NASA GeneLab Interfaces for the exploration of spa.txt,HTML_EXTRACTION
Comprehensive multi-omics analysis reveals mitochondrial stress as a central biological hub for spaceflight impact,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7870178/,data\processed_text\Comprehensive multiomics analysis reveals mitochon.txt,HTML_EXTRACTION
A New Era for Space Life Science: International Standards for Space Omics Processing,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7733874/,data\processed_text\A New Era for Space Life Science International Sta.txt,HTML_EXTRACTION
Knowledge Network Embedding of Transcriptomic Data from Spaceflown Mice Uncovers Signs and Symptoms Associated with Terrestrial Diseases,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7828077/,data\processed_text\Knowledge Network Embedding of Transcriptomic Data.txt,HTML_EXTRACTION
NASA GeneLab RNA-Seq Consensus Pipeline: Standardized Processing of Short-Read RNA-Seq Data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8044432/,data\processed_text\NASA GeneLab RNASeq Consensus Pipeline Standardize.txt,HTML_EXTRACTION
Spatially resolved multiomics on the neuronal effects induced by spaceflight in mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166911/,data\processed_text\Spatially resolved multiomics on the neuronal effe.txt,HTML_EXTRACTION
Biological horizons: pioneering open science in the cosmos,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11167097/,data\processed_text\Biological horizons pioneering open science in the.txt,HTML_EXTRACTION
Inspiration4 data access through the NASA Open Science Data Repository,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11094041/,data\processed_text\Inspiration4 data access through the NASA Open Sci.txt,HTML_EXTRACTION
NASA GeneLab derived microarray studies of Mus musculus and Homo sapiens organisms in altered gravitational conditions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11053165/,data\processed_text\NASA GeneLab derived microarray studies of Mus mus.txt,HTML_EXTRACTION
Celebrating 30 years of access to NASA space life sciences data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11403809/,data\processed_text\Celebrating 30 years of access to NASA space life .txt,HTML_EXTRACTION
Dichotomous effects on lymphatic transport with loss of caveolae in mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8513672/,data\processed_text\Dichotomous effects on lymphatic transport with lo.txt,HTML_EXTRACTION
Fungal diversity differences in the indoor dust microbiome from built environments on Earth and in space.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11126634/,data\processed_text\Fungal diversity differences in the indoor dust mi.txt,HTML_EXTRACTION
Predicting how varying moisture conditions impact the microbiome of dust collected from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11386075/,data\processed_text\Predicting how varying moisture conditions impact .txt,HTML_EXTRACTION
Chronic skeletal unloading of the rat femur: mechanisms and functional consequences of vascular remodeling.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3856860/,data\processed_text\Chronic skeletal unloading of the rat femur mechan.txt,HTML_EXTRACTION
Differential effects of aging and exercise on intra-abdominal adipose arteriolar function and blood flow regulation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3615599/,data\processed_text\Differential effects of aging and exercise on intr.txt,HTML_EXTRACTION
Effects of spaceflight and ground recovery on mesenteric artery and vein constrictor properties in mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4050424/,data\processed_text\Effects of spaceflight and ground recovery on mese.txt,HTML_EXTRACTION
"Spaceflight-induced alterations in cerebral artery vasoconstrictor, mechanical, and structural properties: Implications for elevated cerebral perfusion and intracranial pressure",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3659353/,data\processed_text\Spaceflightinduced alterations in cerebral artery .txt,HTML_EXTRACTION
Exercise training augments regional bone and marrow blood flow during exercise.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4169763/,data\processed_text\Exercise training augments regional bone and marro.txt,HTML_EXTRACTION
Effects of Skeletal Unloading on the Vasomotor Properties of the Rat Femur Principal Nutrient Artery,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4398884/,data\processed_text\Effects of Skeletal Unloading on the Vasomotor Pro.txt,HTML_EXTRACTION
Type 2 diabetes alters bone and marrow blood flow and vascular control mechanisms in the ZDF rat.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4379453/,data\processed_text\Type 2 diabetes alters bone and marrow blood flow .txt,HTML_EXTRACTION
